Nodo,X,Y,Variable,Escenario,Valor,Z,Rezago_Z,Moran_local,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_LISA
12,587191.101,517561,Calcio_savia,Original,1800,0.8755965833779543,0.8074188738824518,0.7069732073263502,-1.1153928086084042,0.8728541873262927,0.118,Sin_clasificar
13,587189.132,517559,Calcio_savia,Original,1000,-1.306090120478127,1.4210182593419747,-1.855977909545578,-1.072126698309152,0.9692465683347847,0.004,Bajo-Alto
14,587187.054,517557,Calcio_savia,Original,2000,1.4210182593419747,0.12564177892742637,0.17853926199208062,-1.0956638554168656,0.9129276482046258,0.492,Sin_clasificar
15,587188.6,517555,Calcio_savia,Original,1700,0.6028857453959442,0.6710634548914467,0.4045745912102074,-1.1146477685397123,0.885450809521557,0.276,Sin_clasificar
16,587190.678,517557,Calcio_savia,Original,1900,1.1483074213599644,0.3983526169094366,0.45743126631526887,-0.912386654632974,1.0270017822872093,0.232,Sin_clasificar
17,587192.647,517559,Calcio_savia,Original,2300,2.239150773288005,0.9437742928734568,2.113252937696941,-0.9848388131846479,0.8729687322566384,0.006,Alto-Alto
18,587194.713,517560,Calcio_savia,Original,1800,0.8755965833779543,1.6937290973239847,1.4830234107847076,-0.9113839714745736,1.0416585531572646,0.012,Alto-Alto
19,587196.236,517562,Calcio_savia,Original,1800,0.8755965833779543,1.2846628403509697,1.1248463938039275,-1.0343789975382993,1.2637465644713457,0.056,Sin_clasificar
20,587198.569,517564,Calcio_savia,Original,1300,-0.4879576065320965,0.1938194884229289,-0.09457569367012778,-1.1128253420971763,0.9546269830653046,0.698,Sin_clasificar
21,587200.494,517565,Calcio_savia,Original,1300,-0.4879576065320965,-0.28342447804558885,0.13829912993973428,-1.2614498793296214,1.0243629327034451,0.578,Sin_clasificar
22,587202.56,517567,Calcio_savia,Original,1200,-0.7606684445141066,-0.14706905905458378,0.11187079238720354,-0.9655155814565415,0.7668788778406794,0.608,Sin_clasificar
23,587204.529,517569,Calcio_savia,Original,1500,0.05746406943192384,-0.07889134955908124,-0.004533417988641218,-1.049228004682764,1.0354568582182728,0.968,Sin_clasificar
24,587206.461,517570,Calcio_savia,Original,1600,0.330174907413934,0.1256417789274264,0.04148376272468498,-1.0898496211553088,0.9060469840408234,0.76,Sin_clasificar
25,587208.571,517572,Calcio_savia,Original,1600,0.330174907413934,-0.2834244780455889,-0.09357965079754489,-1.0658798494266035,1.1064338772756521,0.676,Sin_clasificar
26,587210.54,517574,Calcio_savia,Original,1200,-0.7606684445141066,-1.1083747629411698,0.8431057068651513,-1.0304290235199265,0.9844246016414921,0.09,Sin_clasificar
27,587212.65,517576,Calcio_savia,Original,750,-1.9878672154331525,-1.1833702433862223,2.3523829105466216,-1.0873515456308709,0.7657463770945537,0.002,Bajo-Bajo
28,587214.441,517577,Calcio_savia,Original,1200,-0.7606684445141066,-1.524258790863735,1.1594555634832704,-1.1866769408848297,1.0187641757166572,0.05,Bajo-Bajo
29,587215.987,517575,Calcio_savia,Original,950,-1.442445539469132,-1.278819036679926,1.8446268152471714,-1.2191578989597551,1.0177362594721522,0.012,Bajo-Bajo
30,587214.196,517574,Calcio_savia,Original,780,-1.9060539640385494,-1.6060720422583383,3.0612599826779943,-0.9540112862782095,1.0065032199694546,0.002,Bajo-Bajo
31,587212.086,517572,Calcio_savia,Original,1000,-1.306090120478127,-1.1560991595880215,1.5099696906309803,-0.9950323159426606,1.129126722041706,0.012,Bajo-Bajo
32,587210.117,517570,Calcio_savia,Original,1300,-0.4879576065320965,-0.4879576065320965,0.23810262577253233,-1.0051531075709743,0.889312135724269,0.414,Sin_clasificar
33,587208.007,517569,Calcio_savia,Original,1400,-0.21524676855008634,-0.14706905905458378,0.031656139715200975,-1.168735220620995,1.0446317411319248,0.816,Sin_clasificar
34,587206.075,517567,Calcio_savia,Original,1500,0.05746406943192384,0.1256417789274264,0.007219887907836056,-0.9222056452708953,1.0068783961181267,0.906,Sin_clasificar
35,587204.105,517565,Calcio_savia,Original,1700,0.6028857453959442,-0.21524676855008634,-0.1297692085013871,-1.0373352527841249,0.8588116428943279,0.6,Sin_clasificar
36,587202.04,517564,Calcio_savia,Original,1600,0.330174907413934,0.26199719791843146,0.08650490056542826,-1.2236995224444416,1.0600401923564895,0.696,Sin_clasificar
37,587200.115,517562,Calcio_savia,Original,1900,1.1483074213599644,-0.21524676855008634,-0.24716946174981475,-1.0774030694195142,0.9613323436835325,0.472,Sin_clasificar
38,587197.782,517560,Calcio_savia,Original,2000,1.4210182593419747,1.1483074213599644,1.6317658130904082,-1.0030494650240793,0.8886517592997464,0.012,Alto-Alto
39,587196.259,517559,Calcio_savia,Original,2300,2.239150773288005,0.9437742928734568,2.113252937696941,-1.112262577874167,1.1814249491095405,0.004,Alto-Alto
40,587194.193,517557,Calcio_savia,Original,1800,0.8755965833779543,1.4210182593419747,1.2442387327975208,-1.0246768759307605,0.8167955664001683,0.028,Alto-Alto
41,587192.224,517555,Calcio_savia,Original,1500,0.05746406943192384,0.6710634548914467,0.038562036965108785,-1.0252715135256927,0.9578063519145894,0.782,Sin_clasificar
42,587190.146,517554,Calcio_savia,Original,1500,0.05746406943192384,0.7392411643869492,0.04247980559726787,-1.0551833450179369,0.9449713434584867,0.76,Sin_clasificar
43,587191.692,517552,Calcio_savia,Original,1900,1.1483074213599644,0.330174907413934,0.37914229653025955,-0.9037748679566229,1.052286662622014,0.306,Sin_clasificar
44,587193.77,517553,Calcio_savia,Original,1700,0.6028857453959442,0.6028857453959442,0.36347122200162324,-1.0220569511615774,1.0193232877824672,0.306,Sin_clasificar
45,587195.739,517555,Calcio_savia,Original,1900,1.1483074213599644,0.5347080359004417,0.6140092058852875,-1.0864750279029984,0.9110833088188923,0.164,Sin_clasificar
46,587197.805,517557,Calcio_savia,Original,1700,0.6028857453959442,1.4210182593419747,0.8567116525046335,-1.0244534303130117,0.9228442510440599,0.084,Sin_clasificar
